project_id,project_name,sector,trl,revenue_egp,royalty_percent,status,start_date,current_stage_days,institution,lead_researcher
1,"Solar NanoPanel","Energy",7,450000,5,"Active","2023-01-15",85,"Cairo University","Dr. Ahmed Hassan"
2,"AI Diagnostic Tool","Health",8,890000,8,"Commercial","2022-03-10",45,"Cairo University","Dr. Fatma Ali"
3,"Smart Irrigation","Agri-food",6,120000,3,"Active","2023-05-20",68,"Nile University","Dr. Mohamed Saad"
4,"Nano-Filter","Materials",9,1200000,6,"Commercial","2021-08-05",112,"Alexandria University","Dr. Sara Ibrahim"
5,"Quantum Sensor","ICT",5,75000,4,"Active","2023-07-12",68,"Zewail City","Dr. Omar Khaled"
6,"Medical Scanner","Health",7,680000,7,"Active","2023-02-18",85,"Ain Shams University","Dr. Nour Rashid"
7,"Smart Grid System","Engineering",8,540000,4,"Commercial","2022-11-22",85,"Cairo University","Dr. Hesham Fouad"
8,"Bio Sensors","Health",6,320000,5,"Active","2023-04-05",85,"Nile University","Dr. Layla Mostafa"
9,"Water Purifier","Materials",8,280000,4,"Active","2022-12-01",68,"Alexandria University","Dr. Tarek Zayed"
10,"Robotics Solution","Engineering",7,450000,6,"Active","2023-03-25",85,"Zewail City","Dr. Rana Mahmoud"
11,"AgriTech Platform","Agri-food",6,210000,5,"Active","2023-06-10",68,"Cairo University","Dr. Youssef Nabil"
12,"Solar Cells","Energy",5,180000,3,"Active","2023-08-01",45,"Ain Shams University","Dr. Mona Farid"
13,"Drug Discovery AI","Health",4,150000,7,"Active","2023-09-15",45,"Cairo University","Dr. Karim Youssef"
14,"IoT Agriculture","ICT",5,95000,4,"Active","2023-07-20",45,"Nile University","Dr. Dina Saleh"
15,"Advanced Materials","Materials",6,340000,5,"Active","2023-04-30",68,"Alexandria University","Dr. Amr Ghoneim"
